entry,at,order
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-05-16T04:39:31.107Z,162113997110800
"-- ending hand #232 --",2021-05-16T04:39:28.940Z,162113996894102
"""LLATFFEJ @ cp8PZiuFnj"" collected 0.30 from pot",2021-05-16T04:39:28.940Z,162113996894101
"Uncalled bet of 0.30 returned to ""LLATFFEJ @ cp8PZiuFnj""",2021-05-16T04:39:28.940Z,162113996894100
"""K. Godel @ TN11URmFSv"" folds",2021-05-16T04:39:28.132Z,162113996813300
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-16T04:39:03.058Z,162113994305900
"""LLATFFEJ @ cp8PZiuFnj"" bets 0.30",2021-05-16T04:38:58.123Z,162113993812400
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:38:50.418Z,162113993041900
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:38:35.683Z,162113991568400
"Turn: 8♦, 8♥, 3♣ [Q♣]",2021-05-16T04:38:31.128Z,162113991113300
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:38:30.295Z,162113991029600
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:37:59.471Z,162113987947100
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:37:24.916Z,162113984491600
"Flop:  [8♦, 8♥, 3♣]",2021-05-16T04:37:22.014Z,162113984201600
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:37:21.203Z,162113984120400
"""Deckhole @ hqlKQ6Qj8d"" calls 0.10",2021-05-16T04:37:15.660Z,162113983566000
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.10",2021-05-16T04:37:12.011Z,162113983201100
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-05-16T04:37:05.459Z,162113982546506
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-05-16T04:37:05.459Z,162113982546505
"Your hand is 7♠, 10♦, K♦, 9♣",2021-05-16T04:37:05.459Z,162113982546503
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (39.60) | #8 ""K. Godel @ TN11URmFSv"" (31.28) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (54.12)",2021-05-16T04:37:05.459Z,162113982546501
"-- starting hand #232  (Pot Limit Omaha Hi) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-05-16T04:37:05.459Z,162113982546500
"""LLATFFEJ @ cp8PZiuFnj"" shows a Q♠, 2♣, 2♠, 10♦.",2021-05-16T04:37:02.342Z,162113982234300
"""Deckhole @ hqlKQ6Qj8d"" shows a A♣, 2♦, 8♥, 8♦.",2021-05-16T04:37:01.799Z,162113982179900
"-- ending hand #231 --",2021-05-16T04:37:01.145Z,162113982114602
"""K. Godel @ TN11URmFSv"" collected 16.26 from pot",2021-05-16T04:37:01.145Z,162113982114601
"Uncalled bet of 15.02 returned to ""K. Godel @ TN11URmFSv""",2021-05-16T04:37:01.145Z,162113982114600
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-16T04:37:00.334Z,162113982033500
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-05-16T04:36:44.097Z,162113980409800
"""K. Godel @ TN11URmFSv"" raises to 18.27 and go all in",2021-05-16T04:36:08.349Z,162113976835000
"""Deckhole @ hqlKQ6Qj8d"" calls 3.25",2021-05-16T04:35:47.606Z,162113974760700
"""LLATFFEJ @ cp8PZiuFnj"" bets 3.25",2021-05-16T04:35:45.238Z,162113974523800
"River: K♦, J♣, 9♦, 8♠ [J♥]",2021-05-16T04:35:37.370Z,162113973737900
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:35:36.559Z,162113973655900
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:35:33.175Z,162113973317600
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:35:18.512Z,162113971851200
"Turn: K♦, J♣, 9♦ [8♠]",2021-05-16T04:35:13.558Z,162113971356000
"""K. Godel @ TN11URmFSv"" calls 1.82",2021-05-16T04:35:12.750Z,162113971275100
"""Deckhole @ hqlKQ6Qj8d"" calls 1.82",2021-05-16T04:35:06.647Z,162113970664800
"""LLATFFEJ @ cp8PZiuFnj"" raises to 1.82",2021-05-16T04:35:04.958Z,162113970495900
"""K. Godel @ TN11URmFSv"" calls 0.52",2021-05-16T04:35:01.712Z,162113970171300
"""Deckhole @ hqlKQ6Qj8d"" bets 0.52",2021-05-16T04:34:58.646Z,162113969864600
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:34:55.578Z,162113969557900
"Flop:  [K♦, J♣, 9♦]",2021-05-16T04:34:49.989Z,162113968999100
"""Deckhole @ hqlKQ6Qj8d"" calls 0.35",2021-05-16T04:34:49.183Z,162113968918400
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.35",2021-05-16T04:34:47.197Z,162113968719800
"""K. Godel @ TN11URmFSv"" raises to 0.35",2021-05-16T04:34:43.947Z,162113968394900
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-05-16T04:34:34.882Z,162113967488306
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.05",2021-05-16T04:34:34.882Z,162113967488305
"Your hand is 7♣, 6♦, K♣, K♥",2021-05-16T04:34:34.882Z,162113967488303
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (45.02) | #8 ""K. Godel @ TN11URmFSv"" (20.44) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (59.54)",2021-05-16T04:34:34.882Z,162113967488301
"-- starting hand #231  (Pot Limit Omaha Hi) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-16T04:34:34.882Z,162113967488300
"-- ending hand #230 --",2021-05-16T04:34:28.841Z,162113966884402
"""K. Godel @ TN11URmFSv"" collected 5.21 from pot with Straight (combination: Q♦, J♣, 10♠, 9♠, 8♦)",2021-05-16T04:34:28.841Z,162113966884401
"""K. Godel @ TN11URmFSv"" shows a 9♠, 3♣, 2♦, 10♠.",2021-05-16T04:34:28.841Z,162113966884400
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:34:27.999Z,162113966800000
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:34:19.896Z,162113965989700
"River: J♣, 6♠, 8♦, 2♥ [Q♦]",2021-05-16T04:34:14.032Z,162113965404500
"""K. Godel @ TN11URmFSv"" calls 1.56",2021-05-16T04:34:13.222Z,162113965322300
"""Deckhole @ hqlKQ6Qj8d"" bets 1.56",2021-05-16T04:34:11.313Z,162113965131400
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:34:00.196Z,162113964019700
"Turn: J♣, 6♠, 8♦ [2♥]",2021-05-16T04:33:53.714Z,162113963371700
"""Deckhole @ hqlKQ6Qj8d"" calls 0.52",2021-05-16T04:33:52.832Z,162113963283300
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-05-16T04:33:50.772Z,162113963077200
"""K. Godel @ TN11URmFSv"" bets 0.52",2021-05-16T04:33:44.722Z,162113962472300
"Flop:  [J♣, 6♠, 8♦]",2021-05-16T04:33:35.119Z,162113961512100
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.35",2021-05-16T04:33:34.313Z,162113961431300
"""K. Godel @ TN11URmFSv"" calls 0.35",2021-05-16T04:33:33.088Z,162113961308900
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.35",2021-05-16T04:33:30.104Z,162113961010500
"""LLATFFEJ @ cp8PZiuFnj"" posts a big blind of 0.10",2021-05-16T04:33:19.670Z,162113959967206
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-05-16T04:33:19.670Z,162113959967205
"Your hand is 9♠, 3♣, 2♦, 10♠",2021-05-16T04:33:19.670Z,162113959967203
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (47.45) | #8 ""K. Godel @ TN11URmFSv"" (17.66) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (59.89)",2021-05-16T04:33:19.670Z,162113959967201
"-- starting hand #230  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-16T04:33:19.670Z,162113959967200
"""LLATFFEJ @ cp8PZiuFnj"" shows a 8♣, 5♥, 5♣, 9♦.",2021-05-16T04:33:15.291Z,162113959529200
"-- ending hand #229 --",2021-05-16T04:33:13.116Z,162113959311902
"""Deckhole @ hqlKQ6Qj8d"" collected 4.50 from pot with Three of a Kind (combination: 7♦, 7♠, 7♣, A♥, 5♦)",2021-05-16T04:33:13.116Z,162113959311901
"""Deckhole @ hqlKQ6Qj8d"" shows a 3♦, 7♦, 10♠, 7♠.",2021-05-16T04:33:13.116Z,162113959311900
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:33:12.309Z,162113959231000
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:33:10.488Z,162113959048900
"River: 7♣, 4♣, A♥, 5♦ [2♠]",2021-05-16T04:32:53.956Z,162113957396000
"""Deckhole @ hqlKQ6Qj8d"" calls 1.35",2021-05-16T04:32:53.152Z,162113957315300
"""LLATFFEJ @ cp8PZiuFnj"" bets 1.35",2021-05-16T04:32:51.802Z,162113957180300
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:32:48.482Z,162113956848300
"Turn: 7♣, 4♣, A♥ [5♦]",2021-05-16T04:32:43.112Z,162113956311400
"""Deckhole @ hqlKQ6Qj8d"" calls 0.75",2021-05-16T04:32:42.305Z,162113956230600
"""LLATFFEJ @ cp8PZiuFnj"" raises to 0.75",2021-05-16T04:32:38.951Z,162113955895200
"""K. Godel @ TN11URmFSv"" folds",2021-05-16T04:32:33.713Z,162113955371300
"""Deckhole @ hqlKQ6Qj8d"" bets 0.15",2021-05-16T04:32:22.416Z,162113954241700
"Flop:  [7♣, 4♣, A♥]",2021-05-16T04:32:16.215Z,162113953621800
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:32:15.411Z,162113953541200
"""Deckhole @ hqlKQ6Qj8d"" calls 0.10",2021-05-16T04:32:05.521Z,162113952552200
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.10",2021-05-16T04:31:58.791Z,162113951879200
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-05-16T04:31:55.425Z,162113951542606
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-05-16T04:31:55.425Z,162113951542605
"Your hand is 6♠, A♠, 3♣, 8♦",2021-05-16T04:31:55.425Z,162113951542603
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (45.15) | #8 ""K. Godel @ TN11URmFSv"" (17.76) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (62.09)",2021-05-16T04:31:55.425Z,162113951542601
"-- starting hand #229  (Pot Limit Omaha Hi) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-05-16T04:31:55.425Z,162113951542600
"-- ending hand #228 --",2021-05-16T04:31:52.504Z,162113951250502
"""K. Godel @ TN11URmFSv"" collected 6.51 from pot",2021-05-16T04:31:52.504Z,162113951250501
"Uncalled bet of 4.88 returned to ""K. Godel @ TN11URmFSv""",2021-05-16T04:31:52.504Z,162113951250500
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-16T04:31:51.698Z,162113951169900
"""K. Godel @ TN11URmFSv"" bets 4.88",2021-05-16T04:31:50.061Z,162113951006100
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:31:40.081Z,162113950008100
"River: 4♦, Q♦, 6♣, A♥ [4♠]",2021-05-16T04:31:33.713Z,162113949372000
"""Deckhole @ hqlKQ6Qj8d"" calls 1.95",2021-05-16T04:31:32.864Z,162113949286500
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-05-16T04:31:31.387Z,162113949138800
"""K. Godel @ TN11URmFSv"" bets 1.95",2021-05-16T04:31:29.514Z,162113948951500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:31:22.193Z,162113948219400
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:31:20.978Z,162113948097900
"Turn: 4♦, Q♦, 6♣ [A♥]",2021-05-16T04:31:09.418Z,162113946942100
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.52",2021-05-16T04:31:08.615Z,162113946861500
"""K. Godel @ TN11URmFSv"" calls 0.52",2021-05-16T04:31:07.703Z,162113946770300
"""Deckhole @ hqlKQ6Qj8d"" bets 0.52",2021-05-16T04:31:05.065Z,162113946506600
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:31:01.018Z,162113946101900
"Flop:  [4♦, Q♦, 6♣]",2021-05-16T04:30:55.533Z,162113945553500
"""Deckhole @ hqlKQ6Qj8d"" calls 0.35",2021-05-16T04:30:54.714Z,162113945471400
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.35",2021-05-16T04:30:53.366Z,162113945336700
"""K. Godel @ TN11URmFSv"" raises to 0.35",2021-05-16T04:30:52.080Z,162113945208000
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-05-16T04:30:46.907Z,162113944690906
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.05",2021-05-16T04:30:46.907Z,162113944690905
"Your hand is 5♥, J♠, 7♠, J♣",2021-05-16T04:30:46.907Z,162113944690903
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (47.97) | #8 ""K. Godel @ TN11URmFSv"" (14.07) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (62.96)",2021-05-16T04:30:46.907Z,162113944690901
"-- starting hand #228  (Pot Limit Omaha Hi) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-16T04:30:46.907Z,162113944690900
"-- ending hand #227 --",2021-05-16T04:30:43.978Z,162113944397902
"""Deckhole @ hqlKQ6Qj8d"" collected 1.49 from pot",2021-05-16T04:30:43.978Z,162113944397901
"Uncalled bet of 1.11 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-05-16T04:30:43.978Z,162113944397900
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-05-16T04:30:43.168Z,162113944316900
"""Deckhole @ hqlKQ6Qj8d"" bets 1.11",2021-05-16T04:30:34.512Z,162113943451200
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:30:30.101Z,162113943010100
"Turn: 5♠, A♦, 7♣ [10♦]",2021-05-16T04:30:27.961Z,162113942796300
"""Deckhole @ hqlKQ6Qj8d"" calls 0.37",2021-05-16T04:30:27.147Z,162113942714800
"""LLATFFEJ @ cp8PZiuFnj"" bets 0.37",2021-05-16T04:30:25.820Z,162113942582100
"Flop:  [5♠, A♦, 7♣]",2021-05-16T04:30:17.109Z,162113941711000
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.35",2021-05-16T04:30:16.302Z,162113941630200
"""K. Godel @ TN11URmFSv"" folds",2021-05-16T04:30:13.915Z,162113941391600
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.35",2021-05-16T04:30:09.324Z,162113940932500
"""LLATFFEJ @ cp8PZiuFnj"" posts a big blind of 0.10",2021-05-16T04:30:06.238Z,162113940623906
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-05-16T04:30:06.238Z,162113940623905
"Your hand is Q♥, 6♦, J♣, 6♠",2021-05-16T04:30:06.238Z,162113940623903
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (47.20) | #8 ""K. Godel @ TN11URmFSv"" (14.12) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (63.68)",2021-05-16T04:30:06.238Z,162113940623901
"-- starting hand #227  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-16T04:30:06.238Z,162113940623900
"-- ending hand #226 --",2021-05-16T04:30:00.199Z,162113940020403
"""Deckhole @ hqlKQ6Qj8d"" shows a 9♦, 3♦, 8♠, A♥.",2021-05-16T04:30:00.199Z,162113940020402
"""K. Godel @ TN11URmFSv"" collected 0.30 from pot with One Pair (combination: Q♦, Q♠, K♣, 10♣, 3♣)",2021-05-16T04:30:00.199Z,162113940020401
"""K. Godel @ TN11URmFSv"" shows a Q♦, 2♦, 2♣, 3♣.",2021-05-16T04:30:00.199Z,162113940020400
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:29:59.389Z,162113939939000
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:29:58.484Z,162113939848500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:29:52.172Z,162113939217300
"River: 7♦, Q♠, K♣, 10♣ [4♥]",2021-05-16T04:29:50.223Z,162113939022700
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:29:49.415Z,162113938941600
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:29:48.484Z,162113938848500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:29:47.603Z,162113938760300
"Turn: 7♦, Q♠, K♣ [10♣]",2021-05-16T04:29:40.265Z,162113938028500
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:29:39.458Z,162113937945900
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:29:38.486Z,162113937848700
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:29:37.595Z,162113937759500
"Flop:  [7♦, Q♠, K♣]",2021-05-16T04:29:32.364Z,162113937236500
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:29:31.559Z,162113937156000
"""Deckhole @ hqlKQ6Qj8d"" calls 0.10",2021-05-16T04:29:28.859Z,162113936886000
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.10",2021-05-16T04:29:16.392Z,162113935639300
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-05-16T04:29:08.341Z,162113934834206
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-05-16T04:29:08.341Z,162113934834205
"Your hand is Q♦, 2♦, 2♣, 3♣",2021-05-16T04:29:08.341Z,162113934834203
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (47.30) | #8 ""K. Godel @ TN11URmFSv"" (13.92) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (63.78)",2021-05-16T04:29:08.341Z,162113934834201
"-- starting hand #226  (Pot Limit Omaha Hi) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-05-16T04:29:08.341Z,162113934834200
"-- ending hand #225 --",2021-05-16T04:29:05.430Z,162113934543102
"""K. Godel @ TN11URmFSv"" collected 0.80 from pot",2021-05-16T04:29:05.430Z,162113934543101
"Uncalled bet of 0.40 returned to ""K. Godel @ TN11URmFSv""",2021-05-16T04:29:05.430Z,162113934543100
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-05-16T04:29:04.592Z,162113934459200
"""K. Godel @ TN11URmFSv"" bets 0.40",2021-05-16T04:29:01.628Z,162113934162900
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:28:54.146Z,162113933414700
"Flop:  [9♥, 10♦, Q♥]",2021-05-16T04:28:50.387Z,162113933038800
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-16T04:28:49.581Z,162113932958200
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.35",2021-05-16T04:28:43.803Z,162113932380400
"""K. Godel @ TN11URmFSv"" raises to 0.35",2021-05-16T04:28:42.361Z,162113932236200
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-05-16T04:28:34.322Z,162113931432306
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.05",2021-05-16T04:28:34.322Z,162113931432305
"Your hand is A♠, 8♠, 4♥, 7♣",2021-05-16T04:28:34.322Z,162113931432303
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (47.40) | #8 ""K. Godel @ TN11URmFSv"" (13.47) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (64.13)",2021-05-16T04:28:34.322Z,162113931432301
"-- starting hand #225  (Pot Limit Omaha Hi) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-16T04:28:34.322Z,162113931432300
"""LLATFFEJ @ cp8PZiuFnj"" shows a J♦, 5♣, 5♦, 2♣.",2021-05-16T04:28:30.637Z,162113931065500
"-- ending hand #224 --",2021-05-16T04:28:27.813Z,162113930781702
"""Deckhole @ hqlKQ6Qj8d"" collected 13.41 from pot with Full House (combination: J♥, J♣, J♠, 6♦, 6♣)",2021-05-16T04:28:27.813Z,162113930781701
"""Deckhole @ hqlKQ6Qj8d"" shows a J♥, 6♦, 5♥, 8♣.",2021-05-16T04:28:27.813Z,162113930781700
"""LLATFFEJ @ cp8PZiuFnj"" calls 4.47",2021-05-16T04:28:26.997Z,162113930699800
"""Deckhole @ hqlKQ6Qj8d"" bets 4.47",2021-05-16T04:28:25.325Z,162113930532600
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:28:22.606Z,162113930260700
"River: 6♣, J♣, J♠, A♣ [K♦]",2021-05-16T04:28:20.458Z,162113930046400
"""Deckhole @ hqlKQ6Qj8d"" calls 1.49",2021-05-16T04:28:19.652Z,162113929965200
"""LLATFFEJ @ cp8PZiuFnj"" bets 1.49",2021-05-16T04:28:11.753Z,162113929175400
"Turn: 6♣, J♣, J♠ [A♣]",2021-05-16T04:28:04.070Z,162113928407200
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.37",2021-05-16T04:28:03.257Z,162113928325800
"""Deckhole @ hqlKQ6Qj8d"" bets 0.37",2021-05-16T04:27:56.516Z,162113927651700
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:27:52.938Z,162113927293900
"Flop:  [6♣, J♣, J♠]",2021-05-16T04:27:47.881Z,162113926788500
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.35",2021-05-16T04:27:47.073Z,162113926707400
"""K. Godel @ TN11URmFSv"" folds",2021-05-16T04:27:45.645Z,162113926564600
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.35",2021-05-16T04:27:42.085Z,162113926208500
"""LLATFFEJ @ cp8PZiuFnj"" posts a big blind of 0.10",2021-05-16T04:27:38.413Z,162113925841406
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-05-16T04:27:38.413Z,162113925841405
"Your hand is 2♠, Q♣, K♥, 3♠",2021-05-16T04:27:38.413Z,162113925841403
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (40.67) | #8 ""K. Godel @ TN11URmFSv"" (13.52) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (70.81)",2021-05-16T04:27:38.413Z,162113925841401
"-- starting hand #224  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-16T04:27:38.413Z,162113925841400
"-- ending hand #223 --",2021-05-16T04:27:35.462Z,162113925546302
"""Deckhole @ hqlKQ6Qj8d"" collected 3.00 from pot",2021-05-16T04:27:35.462Z,162113925546301
"Uncalled bet of 1.50 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-05-16T04:27:35.462Z,162113925546300
"""K. Godel @ TN11URmFSv"" folds",2021-05-16T04:27:34.655Z,162113925465600
"""Deckhole @ hqlKQ6Qj8d"" bets 1.50",2021-05-16T04:27:29.934Z,162113924993800
"Turn: 4♦, 7♣, A♣ [3♣]",2021-05-16T04:27:23.325Z,162113924332900
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-05-16T04:27:22.517Z,162113924251800
"""K. Godel @ TN11URmFSv"" calls 0.90",2021-05-16T04:27:21.565Z,162113924156500
"""Deckhole @ hqlKQ6Qj8d"" bets 0.90",2021-05-16T04:27:15.124Z,162113923512500
"Flop:  [4♦, 7♣, A♣]",2021-05-16T04:27:06.719Z,162113922672100
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.40",2021-05-16T04:27:05.823Z,162113922582400
"""K. Godel @ TN11URmFSv"" calls 0.40",2021-05-16T04:27:04.360Z,162113922436100
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.40",2021-05-16T04:27:02.229Z,162113922223000
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.10",2021-05-16T04:26:59.658Z,162113921965900
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-05-16T04:26:53.035Z,162113921303606
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-05-16T04:26:53.035Z,162113921303605
"Your hand is J♦, Q♠, 7♠, A♠",2021-05-16T04:26:53.035Z,162113921303603
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (38.97) | #8 ""K. Godel @ TN11URmFSv"" (14.82) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (71.21)",2021-05-16T04:26:53.035Z,162113921303601
"-- starting hand #223  (Pot Limit Omaha Hi) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-05-16T04:26:53.035Z,162113921303600
"-- ending hand #222 --",2021-05-16T04:26:47.020Z,162113920702402
"""LLATFFEJ @ cp8PZiuFnj"" collected 0.84 from pot with One Pair (combination: K♦, K♣, A♣, J♥, 9♠)",2021-05-16T04:26:47.020Z,162113920702401
"""LLATFFEJ @ cp8PZiuFnj"" shows a K♦, K♣, 4♠, 6♥.",2021-05-16T04:26:47.020Z,162113920702400
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:26:46.211Z,162113920621200
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:26:39.624Z,162113919962500
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:26:37.517Z,162113919751800
"River: A♣, 9♠, 2♣, 3♥ [J♥]",2021-05-16T04:26:35.039Z,162113919504300
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:26:34.235Z,162113919423600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:26:32.726Z,162113919272700
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:26:29.573Z,162113918957400
"Turn: A♣, 9♠, 2♣ [3♥]",2021-05-16T04:26:25.258Z,162113918526000
"""K. Godel @ TN11URmFSv"" checks",2021-05-16T04:26:24.456Z,162113918445600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-16T04:26:23.581Z,162113918358200
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-05-16T04:26:21.733Z,162113918173400
"Flop:  [A♣, 9♠, 2♣]",2021-05-16T04:26:19.336Z,162113917933700
"""Deckhole @ hqlKQ6Qj8d"" calls 0.28",2021-05-16T04:26:18.527Z,162113917852700
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.28",2021-05-16T04:26:16.643Z,162113917664400
"""K. Godel @ TN11URmFSv"" raises to 0.28",2021-05-16T04:26:14.994Z,162113917499500
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-05-16T04:26:07.207Z,162113916720806
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.05",2021-05-16T04:26:07.207Z,162113916720805
"Your hand is 7♥, Q♠, 3♠, 10♦",2021-05-16T04:26:07.207Z,162113916720803
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (39.25) | #8 ""K. Godel @ TN11URmFSv"" (15.10) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (70.65)",2021-05-16T04:26:07.207Z,162113916720801
"-- starting hand #222  (Pot Limit Omaha Hi) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-16T04:26:07.207Z,162113916720800
"-- ending hand #221 --",2021-05-16T04:26:04.283Z,162113916428402
"""Deckhole @ hqlKQ6Qj8d"" collected 1.05 from pot",2021-05-16T04:26:04.283Z,162113916428401
"Uncalled bet of 1.05 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-05-16T04:26:04.283Z,162113916428400
