entry,at,order
"The player ""LLATFFEJ @ cp8PZiuFnj"" quits the game with a stack of 100.29.",2021-08-29T04:15:52.937Z,163021055293700
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 83.63.",2021-08-29T04:15:45.836Z,163021054583600
"""Deckhole @ hqlKQ6Qj8d"" shows a A♥, 10♥.",2021-08-29T04:15:44.275Z,163021054427500
"-- ending hand #182 --",2021-08-29T04:15:42.196Z,163021054219602
"""Deckhole @ hqlKQ6Qj8d"" collected 1.50 from pot",2021-08-29T04:15:42.196Z,163021054219601
"Uncalled bet of 0.75 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-08-29T04:15:42.196Z,163021054219600
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:15:41.387Z,163021054138700
"""Deckhole @ hqlKQ6Qj8d"" bets 0.75",2021-08-29T04:15:36.436Z,163021053643600
"""K Godel @ Di5cxDUTF9"" checks",2021-08-29T04:15:30.485Z,163021053048500
"Flop:  [2♠, A♣, 6♥]",2021-08-29T04:15:28.522Z,163021052852200
"""K Godel @ Di5cxDUTF9"" calls 0.75",2021-08-29T04:15:27.713Z,163021052771300
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-08-29T04:15:25.934Z,163021052593400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-08-29T04:15:23.385Z,163021052338505
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-08-29T04:15:23.385Z,163021052338504
"Your hand is 5♦, 5♥",2021-08-29T04:15:23.385Z,163021052338503
"Player stacks: #7 ""Deckhole @ hqlKQ6Qj8d"" (27.02) | #9 ""K Godel @ Di5cxDUTF9"" (84.38)",2021-08-29T04:15:23.385Z,163021052338501
"-- starting hand #182  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-08-29T04:15:23.385Z,163021052338500
"-- ending hand #181 --",2021-08-29T04:15:17.360Z,163021051736002
"""K Godel @ Di5cxDUTF9"" collected 9.00 from pot with Pair, A's (combination: A♠, A♦, J♠, 8♣, 7♦)",2021-08-29T04:15:17.360Z,163021051736001
"""K Godel @ Di5cxDUTF9"" shows a A♠, 2♣.",2021-08-29T04:15:17.360Z,163021051736000
"""K Godel @ Di5cxDUTF9"" checks",2021-08-29T04:15:16.555Z,163021051655500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-29T04:15:08.143Z,163021050814300
"River: J♠, 8♣, A♦, 7♦ [3♠]",2021-08-29T04:15:06.378Z,163021050637800
"""K Godel @ Di5cxDUTF9"" checks",2021-08-29T04:15:05.558Z,163021050555800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-29T04:15:02.341Z,163021050234100
"Turn: J♠, 8♣, A♦ [7♦]",2021-08-29T04:15:00.422Z,163021050042200
"""Deckhole @ hqlKQ6Qj8d"" calls 2.25",2021-08-29T04:14:59.618Z,163021049961800
"""K Godel @ Di5cxDUTF9"" bets 2.25",2021-08-29T04:14:56.316Z,163021049631600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-29T04:14:46.930Z,163021048693000
"Flop:  [J♠, 8♣, A♦]",2021-08-29T04:14:40.633Z,163021048063300
"""K Godel @ Di5cxDUTF9"" calls 2.25",2021-08-29T04:14:39.825Z,163021047982500
"""Deckhole @ hqlKQ6Qj8d"" raises to 2.25",2021-08-29T04:14:33.164Z,163021047316400
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2021-08-29T04:14:23.602Z,163021046360200
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-08-29T04:14:15.514Z,163021045551405
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-08-29T04:14:15.514Z,163021045551404
"Your hand is A♠, 2♣",2021-08-29T04:14:15.514Z,163021045551403
"Player stacks: #7 ""Deckhole @ hqlKQ6Qj8d"" (31.52) | #9 ""K Godel @ Di5cxDUTF9"" (79.88)",2021-08-29T04:14:15.514Z,163021045551401
"-- starting hand #181  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-08-29T04:14:15.514Z,163021045551400
"-- ending hand #180 --",2021-08-29T04:14:09.589Z,163021044958902
"""K Godel @ Di5cxDUTF9"" collected 0.20 from pot",2021-08-29T04:14:09.589Z,163021044958901
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2021-08-29T04:14:09.589Z,163021044958900
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-08-29T04:14:08.780Z,163021044878000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-08-29T04:13:30.301Z,163021041030105
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-08-29T04:13:30.301Z,163021041030104
"Your hand is 7♠, J♦",2021-08-29T04:13:30.301Z,163021041030103
"Player stacks: #7 ""Deckhole @ hqlKQ6Qj8d"" (31.62) | #9 ""K Godel @ Di5cxDUTF9"" (79.78)",2021-08-29T04:13:30.301Z,163021041030101
"-- starting hand #180  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-08-29T04:13:30.301Z,163021041030100
"-- ending hand #179 --",2021-08-29T04:13:27.365Z,163021040736502
"""Deckhole @ hqlKQ6Qj8d"" collected 0.20 from pot",2021-08-29T04:13:27.365Z,163021040736501
"Uncalled bet of 0.15 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-08-29T04:13:27.365Z,163021040736500
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:13:26.557Z,163021040655700
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-08-29T04:13:23.826Z,163021040382606
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-08-29T04:13:23.826Z,163021040382605
"Your hand is 10♠, 3♣",2021-08-29T04:13:23.826Z,163021040382604
"Player stacks: #7 ""Deckhole @ hqlKQ6Qj8d"" (31.52) | #9 ""K Godel @ Di5cxDUTF9"" (79.88)",2021-08-29T04:13:23.826Z,163021040382602
"-- starting hand #179  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-08-29T04:13:23.826Z,163021040382601
"The player ""ipfree @ xphtV7FNQJ"" stand up with the stack of 15.73.",2021-08-29T04:13:23.826Z,163021040382600
"-- ending hand #178 --",2021-08-29T04:13:20.917Z,163021040091702
"""ipfree @ xphtV7FNQJ"" collected 0.20 from pot",2021-08-29T04:13:20.917Z,163021040091701
"Uncalled bet of 0.15 returned to ""ipfree @ xphtV7FNQJ""",2021-08-29T04:13:20.917Z,163021040091700
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:13:20.109Z,163021040010900
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-08-29T04:13:08.897Z,163021038889700
"""ipfree @ xphtV7FNQJ"" posts a big blind of 0.25",2021-08-29T04:13:06.048Z,163021038604807
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-08-29T04:13:06.048Z,163021038604806
"Your hand is 4♦, 8♠",2021-08-29T04:13:06.048Z,163021038604805
"Player stacks: #4 ""ipfree @ xphtV7FNQJ"" (15.63) | #7 ""Deckhole @ hqlKQ6Qj8d"" (31.52) | #9 ""K Godel @ Di5cxDUTF9"" (79.98)",2021-08-29T04:13:06.048Z,163021038604802
"-- starting hand #178  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-08-29T04:13:06.048Z,163021038604801
"The player ""LLATFFEJ @ cp8PZiuFnj"" stand up with the stack of 100.29.",2021-08-29T04:13:06.048Z,163021038604800
"-- ending hand #177 --",2021-08-29T04:13:03.130Z,163021038313002
"""K Godel @ Di5cxDUTF9"" collected 0.20 from pot",2021-08-29T04:13:03.130Z,163021038313001
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2021-08-29T04:13:03.130Z,163021038313000
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-08-29T04:13:02.319Z,163021038231900
"""ipfree @ xphtV7FNQJ"" folds",2021-08-29T04:12:48.056Z,163021036805600
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-08-29T04:12:43.995Z,163021036399500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-08-29T04:12:36.429Z,163021035642908
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-08-29T04:12:36.429Z,163021035642907
"Your hand is 6♣, J♦",2021-08-29T04:12:36.429Z,163021035642906
"Player stacks: #2 ""LLATFFEJ @ cp8PZiuFnj"" (100.29) | #4 ""ipfree @ xphtV7FNQJ"" (15.63) | #7 ""Deckhole @ hqlKQ6Qj8d"" (31.62) | #9 ""K Godel @ Di5cxDUTF9"" (79.88)",2021-08-29T04:12:36.429Z,163021035642902
"-- starting hand #177  (No Limit Texas Hold'em) (dealer: ""ipfree @ xphtV7FNQJ"") --",2021-08-29T04:12:36.429Z,163021035642901
"The player ""Breezy @ 2JKewomkAt"" stand up with the stack of 101.45.",2021-08-29T04:12:36.429Z,163021035642900
"Undealt cards: 8♥, 4♠, 8♣, 8♦ [3♣]",2021-08-29T04:12:34.623Z,163021035462300
"-- ending hand #176 --",2021-08-29T04:12:30.521Z,163021035052102
"""Breezy @ 2JKewomkAt"" collected 4.65 from pot",2021-08-29T04:12:30.521Z,163021035052101
"Uncalled bet of 1.20 returned to ""Breezy @ 2JKewomkAt""",2021-08-29T04:12:30.521Z,163021035052100
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-08-29T04:12:29.717Z,163021034971700
"""Breezy @ 2JKewomkAt"" bets 1.20",2021-08-29T04:12:21.006Z,163021034100600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-29T04:12:13.489Z,163021033348900
"Turn: 8♥, 4♠, 8♣ [8♦]",2021-08-29T04:12:08.262Z,163021032826200
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:12:07.455Z,163021032745500
"""Deckhole @ hqlKQ6Qj8d"" calls 1.00",2021-08-29T04:12:05.765Z,163021032576500
"""Breezy @ 2JKewomkAt"" bets 1.00",2021-08-29T04:12:03.175Z,163021032317500
"""K Godel @ Di5cxDUTF9"" checks",2021-08-29T04:11:58.405Z,163021031840500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-29T04:11:57.501Z,163021031750100
"The admin ""Deckhole @ hqlKQ6Qj8d"" canceled the game stop on next hand.",2021-08-29T04:11:54.435Z,163021031443500
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-08-29T04:11:52.915Z,163021031291500
"Flop:  [8♥, 4♠, 8♣]",2021-08-29T04:11:50.804Z,163021031080400
"""Deckhole @ hqlKQ6Qj8d"" calls 0.85",2021-08-29T04:11:49.999Z,163021030999900
"""ipfree @ xphtV7FNQJ"" folds",2021-08-29T04:11:41.626Z,163021030162600
"""Breezy @ 2JKewomkAt"" calls 0.85",2021-08-29T04:11:36.440Z,163021029644000
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-08-29T04:11:34.065Z,163021029406500
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2021-08-29T04:11:31.304Z,163021029130400
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-08-29T04:11:20.665Z,163021028066508
"""ipfree @ xphtV7FNQJ"" posts a small blind of 0.10",2021-08-29T04:11:20.665Z,163021028066507
"Your hand is 10♠, Q♠",2021-08-29T04:11:20.665Z,163021028066506
"Player stacks: #2 ""LLATFFEJ @ cp8PZiuFnj"" (100.29) | #3 ""Breezy @ 2JKewomkAt"" (98.65) | #4 ""ipfree @ xphtV7FNQJ"" (15.73) | #7 ""Deckhole @ hqlKQ6Qj8d"" (33.47) | #9 ""K Godel @ Di5cxDUTF9"" (80.73)",2021-08-29T04:11:20.665Z,163021028066501
"-- starting hand #176  (No Limit Texas Hold'em) (dealer: ""Breezy @ 2JKewomkAt"") --",2021-08-29T04:11:20.665Z,163021028066500
"-- ending hand #175 --",2021-08-29T04:11:14.744Z,163021027474402
"""Breezy @ 2JKewomkAt"" collected 1.00 from pot",2021-08-29T04:11:14.744Z,163021027474401
"Uncalled bet of 0.25 returned to ""Breezy @ 2JKewomkAt""",2021-08-29T04:11:14.744Z,163021027474400
"""ipfree @ xphtV7FNQJ"" folds",2021-08-29T04:11:13.930Z,163021027393000
"""Breezy @ 2JKewomkAt"" bets 0.25",2021-08-29T04:11:11.855Z,163021027185500
"Turn: Q♠, 10♠, 9♠ [2♥]",2021-08-29T04:11:04.809Z,163021026480900
"""ipfree @ xphtV7FNQJ"" calls 0.25",2021-08-29T04:11:03.998Z,163021026399800
"""Breezy @ 2JKewomkAt"" bets 0.25",2021-08-29T04:10:58.877Z,163021025887700
"Flop:  [Q♠, 10♠, 9♠]",2021-08-29T04:10:49.859Z,163021024985900
"""ipfree @ xphtV7FNQJ"" checks",2021-08-29T04:10:49.055Z,163021024905500
"""Breezy @ 2JKewomkAt"" calls 0.25",2021-08-29T04:10:45.140Z,163021024514000
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-08-29T04:10:35.756Z,163021023575600
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:10:34.880Z,163021023488000
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-08-29T04:10:29.677Z,163021022967700
"""ipfree @ xphtV7FNQJ"" posts a big blind of 0.25",2021-08-29T04:10:27.892Z,163021022789208
"""Breezy @ 2JKewomkAt"" posts a small blind of 0.10",2021-08-29T04:10:27.892Z,163021022789207
"Your hand is 5♠, 9♥",2021-08-29T04:10:27.892Z,163021022789206
"Player stacks: #2 ""LLATFFEJ @ cp8PZiuFnj"" (100.29) | #3 ""Breezy @ 2JKewomkAt"" (98.15) | #4 ""ipfree @ xphtV7FNQJ"" (16.23) | #7 ""Deckhole @ hqlKQ6Qj8d"" (33.47) | #9 ""K Godel @ Di5cxDUTF9"" (80.73)",2021-08-29T04:10:27.892Z,163021022789201
"-- starting hand #175  (No Limit Texas Hold'em) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-08-29T04:10:27.892Z,163021022789200
"-- ending hand #174 --",2021-08-29T04:10:21.867Z,163021022186703
"""LLATFFEJ @ cp8PZiuFnj"" shows a 9♥, 8♣.",2021-08-29T04:10:21.867Z,163021022186702
"""Breezy @ 2JKewomkAt"" collected 17.40 from pot with Pair, 10's (combination: 10♣, 10♥, A♦, 9♣, 7♣)",2021-08-29T04:10:21.867Z,163021022186701
"""Breezy @ 2JKewomkAt"" shows a 10♣, 10♥.",2021-08-29T04:10:21.867Z,163021022186700
"""Breezy @ 2JKewomkAt"" calls 4.70",2021-08-29T04:10:21.062Z,163021022106200
"""LLATFFEJ @ cp8PZiuFnj"" bets 4.70",2021-08-29T04:09:39.246Z,163021017924600
"River: 2♠, 5♣, 9♣, A♦ [7♣]",2021-08-29T04:09:26.100Z,163021016610000
"""Breezy @ 2JKewomkAt"" calls 2.00",2021-08-29T04:09:25.294Z,163021016529400
"""LLATFFEJ @ cp8PZiuFnj"" bets 2.00",2021-08-29T04:09:14.939Z,163021015493900
"Turn: 2♠, 5♣, 9♣ [A♦]",2021-08-29T04:09:09.282Z,163021014928200
"""LLATFFEJ @ cp8PZiuFnj"" calls 1.00",2021-08-29T04:09:08.477Z,163021014847700
"""Breezy @ 2JKewomkAt"" bets 1.00",2021-08-29T04:09:02.870Z,163021014287000
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-08-29T04:08:58.455Z,163021013845500
"Flop:  [2♠, 5♣, 9♣]",2021-08-29T04:08:50.785Z,163021013078500
"""LLATFFEJ @ cp8PZiuFnj"" calls 1.00",2021-08-29T04:08:49.959Z,163021012995900
"""Breezy @ 2JKewomkAt"" raises to 1.00",2021-08-29T04:08:46.362Z,163021012636200
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.25",2021-08-29T04:08:42.515Z,163021012251500
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:08:41.526Z,163021012152600
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-08-29T04:07:53.422Z,163021007342200
"""ipfree @ xphtV7FNQJ"" folds",2021-08-29T04:07:52.573Z,163021007257300
"""Breezy @ 2JKewomkAt"" posts a big blind of 0.25",2021-08-29T04:07:46.224Z,163021006622408
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.10",2021-08-29T04:07:46.224Z,163021006622407
"Your hand is 7♥, 4♥",2021-08-29T04:07:46.224Z,163021006622406
"Player stacks: #2 ""LLATFFEJ @ cp8PZiuFnj"" (108.99) | #3 ""Breezy @ 2JKewomkAt"" (89.45) | #4 ""ipfree @ xphtV7FNQJ"" (16.23) | #7 ""Deckhole @ hqlKQ6Qj8d"" (33.47) | #9 ""K Godel @ Di5cxDUTF9"" (80.73)",2021-08-29T04:07:46.224Z,163021006622401
"-- starting hand #174  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-08-29T04:07:46.224Z,163021006622400
"""LLATFFEJ @ cp8PZiuFnj"" shows a A♠, 10♣.",2021-08-29T04:07:43.603Z,163021006360300
"-- ending hand #173 --",2021-08-29T04:07:42.611Z,163021006261102
"""LLATFFEJ @ cp8PZiuFnj"" collected 8.80 from pot",2021-08-29T04:07:42.611Z,163021006261101
"Uncalled bet of 4.40 returned to ""LLATFFEJ @ cp8PZiuFnj""",2021-08-29T04:07:42.611Z,163021006261100
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-08-29T04:07:41.805Z,163021006180500
"""LLATFFEJ @ cp8PZiuFnj"" bets 4.40",2021-08-29T04:07:40.006Z,163021006000600
"River: 9♦, A♥, 10♥, 3♣ [6♦]",2021-08-29T04:07:37.069Z,163021005706900
"""Deckhole @ hqlKQ6Qj8d"" calls 2.20",2021-08-29T04:07:36.260Z,163021005626000
"""LLATFFEJ @ cp8PZiuFnj"" bets 2.20",2021-08-29T04:07:33.411Z,163021005341100
"Turn: 9♦, A♥, 10♥ [3♣]",2021-08-29T04:07:28.720Z,163021004872000
"""LLATFFEJ @ cp8PZiuFnj"" calls 1.30",2021-08-29T04:07:27.911Z,163021004791100
"""Deckhole @ hqlKQ6Qj8d"" bets 1.30",2021-08-29T04:07:25.762Z,163021004576200
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-08-29T04:07:17.028Z,163021003702800
"Flop:  [9♦, A♥, 10♥]",2021-08-29T04:07:11.700Z,163021003170000
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.85",2021-08-29T04:07:10.895Z,163021003089500
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:07:08.221Z,163021002822100
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.85",2021-08-29T04:07:06.128Z,163021002612800
"""ipfree @ xphtV7FNQJ"" folds",2021-08-29T04:07:03.216Z,163021002321600
"""Breezy @ 2JKewomkAt"" folds",2021-08-29T04:06:56.041Z,163021001604100
"""LLATFFEJ @ cp8PZiuFnj"" posts a big blind of 0.25",2021-08-29T04:06:54.291Z,163021001429108
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-08-29T04:06:54.291Z,163021001429107
"Your hand is J♥, 8♦",2021-08-29T04:06:54.291Z,163021001429106
"Player stacks: #2 ""LLATFFEJ @ cp8PZiuFnj"" (104.54) | #3 ""Breezy @ 2JKewomkAt"" (89.45) | #4 ""ipfree @ xphtV7FNQJ"" (16.23) | #7 ""Deckhole @ hqlKQ6Qj8d"" (37.82) | #9 ""K Godel @ Di5cxDUTF9"" (80.83)",2021-08-29T04:06:54.291Z,163021001429101
"-- starting hand #173  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-08-29T04:06:54.291Z,163021001429100
"-- ending hand #172 --",2021-08-29T04:06:48.254Z,163021000825401
"""ipfree @ xphtV7FNQJ"" collected 16.23 from pot with Three of a Kind, A's (combination: A♦, A♣, A♠, K♦, J♥)",2021-08-29T04:06:48.254Z,163021000825400
"River: K♦, 6♣, 4♦, A♠ [J♥]",2021-08-29T04:06:44.209Z,163021000420900
"""Deckhole @ hqlKQ6Qj8d"" shows a K♠, J♦.",2021-08-29T04:06:40.159Z,163021000015901
"""ipfree @ xphtV7FNQJ"" shows a A♦, A♣.",2021-08-29T04:06:40.159Z,163021000015900
"Some players choose to not run it twice.",2021-08-29T04:06:39.354Z,163020999935401
"""ipfree @ xphtV7FNQJ"" chooses to not run it twice.",2021-08-29T04:06:39.354Z,163020999935400
"""ipfree @ xphtV7FNQJ"" shows a A♦, A♣.",2021-08-29T04:06:33.899Z,163020999389900
"""Deckhole @ hqlKQ6Qj8d"" chooses to  run it twice.",2021-08-29T04:06:29.639Z,163020998963900
"Remaining players decide whether to run it twice.",2021-08-29T04:06:28.352Z,163020998835201
"""Deckhole @ hqlKQ6Qj8d"" calls 5.32",2021-08-29T04:06:28.352Z,163020998835200
"""ipfree @ xphtV7FNQJ"" raises to 5.32 and go all in",2021-08-29T04:06:26.548Z,163020998654800
"""Deckhole @ hqlKQ6Qj8d"" bets 2.79",2021-08-29T04:06:13.919Z,163020997391900
"Turn: K♦, 6♣, 4♦ [A♠]",2021-08-29T04:06:05.399Z,163020996539900
"""ipfree @ xphtV7FNQJ"" calls 1.52",2021-08-29T04:06:04.587Z,163020996458700
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:05:56.103Z,163020995610300
"""Deckhole @ hqlKQ6Qj8d"" bets 1.52",2021-08-29T04:05:52.679Z,163020995267900
"Flop:  [K♦, 6♣, 4♦]",2021-08-29T04:05:43.957Z,163020994395700
"""K Godel @ Di5cxDUTF9"" calls 0.85",2021-08-29T04:05:43.152Z,163020994315200
"""Deckhole @ hqlKQ6Qj8d"" calls 0.85",2021-08-29T04:05:38.872Z,163020993887200
"""ipfree @ xphtV7FNQJ"" raises to 0.85",2021-08-29T04:05:36.640Z,163020993664000
"""Breezy @ 2JKewomkAt"" folds",2021-08-29T04:05:31.006Z,163020993100600
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-08-29T04:05:30.145Z,163020993014500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-08-29T04:05:26.447Z,163020992644708
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-08-29T04:05:26.447Z,163020992644707
"Your hand is 10♠, Q♣",2021-08-29T04:05:26.447Z,163020992644706
"Player stacks: #2 ""LLATFFEJ @ cp8PZiuFnj"" (104.54) | #3 ""Breezy @ 2JKewomkAt"" (89.45) | #4 ""ipfree @ xphtV7FNQJ"" (7.69) | #7 ""Deckhole @ hqlKQ6Qj8d"" (45.51) | #9 ""K Godel @ Di5cxDUTF9"" (81.68)",2021-08-29T04:05:26.447Z,163020992644701
"-- starting hand #172  (No Limit Texas Hold'em) (dealer: ""ipfree @ xphtV7FNQJ"") --",2021-08-29T04:05:26.447Z,163020992644700
"-- ending hand #171 --",2021-08-29T04:05:23.538Z,163020992353802
"""Deckhole @ hqlKQ6Qj8d"" collected 2.75 from pot",2021-08-29T04:05:23.538Z,163020992353801
"Uncalled bet of 2.06 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-08-29T04:05:23.538Z,163020992353800
"""ipfree @ xphtV7FNQJ"" folds",2021-08-29T04:05:22.700Z,163020992270000
"""Deckhole @ hqlKQ6Qj8d"" bets 2.06",2021-08-29T04:05:04.958Z,163020990495800
"""ipfree @ xphtV7FNQJ"" checks",2021-08-29T04:04:56.583Z,163020989658300
"Flop:  [10♦, 8♦, 4♠]",2021-08-29T04:04:46.920Z,163020988692000
"""ipfree @ xphtV7FNQJ"" calls 1.25",2021-08-29T04:04:46.092Z,163020988609200
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-08-29T04:04:38.672Z,163020987867200
"""Deckhole @ hqlKQ6Qj8d"" raises to 1.25",2021-08-29T04:04:34.089Z,163020987408900
"""ipfree @ xphtV7FNQJ"" calls 0.25",2021-08-29T04:04:21.976Z,163020986197600
"""Breezy @ 2JKewomkAt"" folds",2021-08-29T04:04:18.269Z,163020985826900
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.25",2021-08-29T04:04:17.401Z,163020985740100
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:04:16.347Z,163020985634700
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-08-29T04:03:58.254Z,163020983825408
"""ipfree @ xphtV7FNQJ"" posts a small blind of 0.10",2021-08-29T04:03:58.254Z,163020983825407
"Your hand is Q♥, 9♣",2021-08-29T04:03:58.254Z,163020983825406
"Player stacks: #2 ""LLATFFEJ @ cp8PZiuFnj"" (104.79) | #3 ""Breezy @ 2JKewomkAt"" (89.45) | #4 ""ipfree @ xphtV7FNQJ"" (8.94) | #7 ""Deckhole @ hqlKQ6Qj8d"" (44.01) | #9 ""K Godel @ Di5cxDUTF9"" (81.68)",2021-08-29T04:03:58.254Z,163020983825401
"-- starting hand #171  (No Limit Texas Hold'em) (dealer: ""Breezy @ 2JKewomkAt"") --",2021-08-29T04:03:58.254Z,163020983825400
"-- ending hand #170 --",2021-08-29T04:03:52.344Z,163020983234402
"""Deckhole @ hqlKQ6Qj8d"" collected 1.80 from pot",2021-08-29T04:03:52.344Z,163020983234401
"Uncalled bet of 1.15 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-08-29T04:03:52.344Z,163020983234400
"""ipfree @ xphtV7FNQJ"" folds",2021-08-29T04:03:51.512Z,163020983151200
"""Deckhole @ hqlKQ6Qj8d"" bets 1.15",2021-08-29T04:03:32.653Z,163020981265300
"""ipfree @ xphtV7FNQJ"" checks",2021-08-29T04:03:20.605Z,163020980060500
"Flop:  [Q♥, 3♦, 8♥]",2021-08-29T04:03:10.488Z,163020979048800
"""ipfree @ xphtV7FNQJ"" calls 0.85",2021-08-29T04:03:09.678Z,163020978967800
"""Breezy @ 2JKewomkAt"" folds",2021-08-29T04:03:06.182Z,163020978618200
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-08-29T04:03:03.554Z,163020978355400
"""K Godel @ Di5cxDUTF9"" folds",2021-08-29T04:03:02.579Z,163020978257900
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.85",2021-08-29T04:03:01.034Z,163020978103400
"""ipfree @ xphtV7FNQJ"" posts a big blind of 0.25",2021-08-29T04:02:53.828Z,163020977382808
"""Breezy @ 2JKewomkAt"" posts a small blind of 0.10",2021-08-29T04:02:53.828Z,163020977382807
"Your hand is 4♣, 7♠",2021-08-29T04:02:53.828Z,163020977382806
"Player stacks: #2 ""LLATFFEJ @ cp8PZiuFnj"" (104.79) | #3 ""Breezy @ 2JKewomkAt"" (89.55) | #4 ""ipfree @ xphtV7FNQJ"" (9.79) | #7 ""Deckhole @ hqlKQ6Qj8d"" (43.06) | #9 ""K Godel @ Di5cxDUTF9"" (81.68)",2021-08-29T04:02:53.828Z,163020977382801
"-- starting hand #170  (No Limit Texas Hold'em) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-08-29T04:02:53.828Z,163020977382800
"-- ending hand #169 --",2021-08-29T04:02:50.901Z,163020977090102
"""LLATFFEJ @ cp8PZiuFnj"" collected 5.00 from pot",2021-08-29T04:02:50.901Z,163020977090101
"Uncalled bet of 2.50 returned to ""LLATFFEJ @ cp8PZiuFnj""",2021-08-29T04:02:50.901Z,163020977090100
"""Breezy @ 2JKewomkAt"" folds",2021-08-29T04:02:50.090Z,163020977009000
"""LLATFFEJ @ cp8PZiuFnj"" bets 2.50",2021-08-29T04:02:49.223Z,163020976922300
"River: 10♥, K♦, 8♦, 8♣ [A♣]",2021-08-29T04:02:41.910Z,163020976191000
