entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 0.00.",2021-12-28T05:25:23.958Z,164066912395801
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 46.26.",2021-12-28T05:25:23.958Z,164066912395800
"-- ending hand #94 --",2021-12-28T05:25:05.674Z,164066910567402
"""Malarkey @ Ia-cNlUwV8"" collected 6.35 from pot with low hand with eight high (combination: 3♦, 5♠, 6♥, 7♣, 8♠)",2021-12-28T05:25:05.674Z,164066910567401
"""Malarkey @ Ia-cNlUwV8"" collected 6.36 from pot with hi hand with two pair jacks and sevens (combination: 8♠, 7♥, 7♣, J♠, J♥)",2021-12-28T05:25:05.674Z,164066910567400
"River: 8♠, J♥, 7♣, 5♥ [3♦]",2021-12-28T05:25:01.660Z,164066910166000
"Turn: 8♠, J♥, 7♣ [5♥]",2021-12-28T05:24:57.592Z,164066909759200
"""Malarkey @ Ia-cNlUwV8"" shows a 5♠, J♠, 6♥, 7♥.",2021-12-28T05:24:53.585Z,164066909358501
"""K Godel @ Di5cxDUTF9"" shows a K♦, K♣, A♦, 9♠.",2021-12-28T05:24:53.585Z,164066909358500
"""Malarkey @ Ia-cNlUwV8"" calls 3.43",2021-12-28T05:24:52.665Z,164066909266500
"""K Godel @ Di5cxDUTF9"" bets 3.43 and go all in",2021-12-28T05:24:48.554Z,164066908855400
"Flop:  [8♠, J♥, 7♣]",2021-12-28T05:24:38.976Z,164066907897600
"""Malarkey @ Ia-cNlUwV8"" calls 2.80",2021-12-28T05:24:38.130Z,164066907813000
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-28T05:24:34.947Z,164066907494700
"""K Godel @ Di5cxDUTF9"" raises to 2.80",2021-12-28T05:24:19.977Z,164066905997700
"""Malarkey @ Ia-cNlUwV8"" raises to 0.85",2021-12-28T05:24:14.552Z,164066905455200
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-28T05:24:10.539Z,164066905053906
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-12-28T05:24:10.539Z,164066905053905
"Your hand is K♦, K♣, A♦, 9♠",2021-12-28T05:24:10.539Z,164066905053902
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (6.23) | #6 ""Deckhole @ _yf6aQFJyI"" (46.51) | #7 ""Malarkey @ Ia-cNlUwV8"" (52.26)",2021-12-28T05:24:10.539Z,164066905053901
"-- starting hand #94  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-12-28T05:24:10.539Z,164066905053900
"-- ending hand #93 --",2021-12-28T05:24:04.521Z,164066904452103
"""Deckhole @ _yf6aQFJyI"" collected 12.45 from pot with low hand with eight high (combination: A♦, 3♥, 4♥, 7♥, 8♣)",2021-12-28T05:24:04.521Z,164066904452102
"""Deckhole @ _yf6aQFJyI"" collected 6.23 from pot with hi hand with three of a kind eights (combination: 9♦, A♦, 8♥, 8♣, 8♠)",2021-12-28T05:24:04.521Z,164066904452101
"""K Godel @ Di5cxDUTF9"" collected 6.23 from pot with hi hand with three of a kind eights (combination: 9♦, A♣, 8♦, 8♣, 8♠)",2021-12-28T05:24:04.521Z,164066904452100
"River: 7♥, 8♣, 9♦, 8♠ [4♥]",2021-12-28T05:24:00.380Z,164066904038000
"Turn: 7♥, 8♣, 9♦ [8♠]",2021-12-28T05:23:56.367Z,164066903636700
"""Deckhole @ _yf6aQFJyI"" shows a A♦, 8♥, 3♥, 3♠.",2021-12-28T05:23:52.314Z,164066903231401
"""K Godel @ Di5cxDUTF9"" shows a 10♥, A♣, 8♦, 10♠.",2021-12-28T05:23:52.314Z,164066903231400
"""K Godel @ Di5cxDUTF9"" calls 11.18 and go all in",2021-12-28T05:23:51.466Z,164066903146600
"""Deckhole @ _yf6aQFJyI"" raises to 11.18",2021-12-28T05:23:49.210Z,164066902921000
"""K Godel @ Di5cxDUTF9"" raises to 8.61",2021-12-28T05:23:39.061Z,164066901906100
"""Malarkey @ Ia-cNlUwV8"" folds",2021-12-28T05:23:33.831Z,164066901383100
"""Deckhole @ _yf6aQFJyI"" bets 2.02",2021-12-28T05:23:23.230Z,164066900323000
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:23:05.299Z,164066898529900
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:23:04.045Z,164066898404500
"Flop:  [7♥, 8♣, 9♦]",2021-12-28T05:22:53.469Z,164066897346900
"""K Godel @ Di5cxDUTF9"" calls 0.85",2021-12-28T05:22:52.577Z,164066897257700
"""Malarkey @ Ia-cNlUwV8"" calls 0.85",2021-12-28T05:22:43.340Z,164066896334000
"""Deckhole @ _yf6aQFJyI"" raises to 0.85",2021-12-28T05:22:41.102Z,164066896110200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-12-28T05:22:19.000Z,164066893900006
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2021-12-28T05:22:19.000Z,164066893900005
"Your hand is 10♥, A♣, 8♦, 10♠",2021-12-28T05:22:19.000Z,164066893900002
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (12.03) | #6 ""Deckhole @ _yf6aQFJyI"" (39.86) | #7 ""Malarkey @ Ia-cNlUwV8"" (53.11)",2021-12-28T05:22:19.000Z,164066893900001
"-- starting hand #93  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-28T05:22:19.000Z,164066893900000
"-- ending hand #92 --",2021-12-28T05:22:16.049Z,164066893604902
"""Malarkey @ Ia-cNlUwV8"" collected 6.75 from pot",2021-12-28T05:22:16.049Z,164066893604901
"Uncalled bet of 3.37 returned to ""Malarkey @ Ia-cNlUwV8""",2021-12-28T05:22:16.049Z,164066893604900
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-28T05:22:15.209Z,164066893520900
"""Malarkey @ Ia-cNlUwV8"" bets 3.37",2021-12-28T05:22:08.653Z,164066892865300
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-28T05:21:57.046Z,164066891704600
"Flop:  [K♥, K♣, Q♠]",2021-12-28T05:21:54.392Z,164066891439200
"""Deckhole @ _yf6aQFJyI"" calls 3.25",2021-12-28T05:21:53.561Z,164066891356100
"""K Godel @ Di5cxDUTF9"" folds",2021-12-28T05:21:43.731Z,164066890373100
"""Malarkey @ Ia-cNlUwV8"" raises to 3.25",2021-12-28T05:21:41.403Z,164066890140300
"""Deckhole @ _yf6aQFJyI"" raises to 1.00",2021-12-28T05:21:38.427Z,164066889842700
"""K Godel @ Di5cxDUTF9"" calls 0.25",2021-12-28T05:21:29.864Z,164066888986400
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2021-12-28T05:21:21.685Z,164066888168506
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-28T05:21:21.685Z,164066888168505
"Your hand is 5♦, 2♥, 9♥, 5♣",2021-12-28T05:21:21.685Z,164066888168502
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (12.28) | #6 ""Deckhole @ _yf6aQFJyI"" (43.11) | #7 ""Malarkey @ Ia-cNlUwV8"" (49.61)",2021-12-28T05:21:21.685Z,164066888168501
"-- starting hand #92  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-12-28T05:21:21.685Z,164066888168500
"-- ending hand #91 --",2021-12-28T05:21:15.676Z,164066887567604
"""Malarkey @ Ia-cNlUwV8"" collected 7.30 from pot with low hand with eight high (combination: A♦, 2♥, 3♦, 6♦, 8♠)",2021-12-28T05:21:15.676Z,164066887567603
"""Malarkey @ Ia-cNlUwV8"" shows a J♥, A♦, 2♥, 4♠.",2021-12-28T05:21:15.676Z,164066887567602
"""K Godel @ Di5cxDUTF9"" collected 7.31 from pot with hi hand with three of a kind threes (combination: J♣, K♠, 3♣, 3♦, 3♠)",2021-12-28T05:21:15.676Z,164066887567601
"""K Godel @ Di5cxDUTF9"" shows a 10♥, J♣, 3♣, 2♠.",2021-12-28T05:21:15.676Z,164066887567600
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:21:14.795Z,164066887479500
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:21:11.931Z,164066887193100
"River: 3♦, 8♠, 6♦, 3♠ [K♠]",2021-12-28T05:21:09.549Z,164066886954900
"""K Godel @ Di5cxDUTF9"" calls 4.87",2021-12-28T05:21:08.652Z,164066886865200
"""Malarkey @ Ia-cNlUwV8"" bets 4.87",2021-12-28T05:21:05.101Z,164066886510100
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:21:01.842Z,164066886184200
"Turn: 3♦, 8♠, 6♦ [3♠]",2021-12-28T05:20:57.384Z,164066885738400
"""K Godel @ Di5cxDUTF9"" calls 1.46",2021-12-28T05:20:56.572Z,164066885657200
"""Malarkey @ Ia-cNlUwV8"" bets 1.46",2021-12-28T05:20:51.491Z,164066885149100
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:20:45.722Z,164066884572200
"Flop:  [3♦, 8♠, 6♦]",2021-12-28T05:20:32.779Z,164066883277900
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-28T05:20:31.911Z,164066883191100
"""K Godel @ Di5cxDUTF9"" calls 0.85",2021-12-28T05:20:19.560Z,164066881956000
"""Malarkey @ Ia-cNlUwV8"" raises to 0.85",2021-12-28T05:20:17.386Z,164066881738600
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-28T05:20:13.166Z,164066881316606
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-12-28T05:20:13.166Z,164066881316605
"Your hand is 10♥, J♣, 3♣, 2♠",2021-12-28T05:20:13.166Z,164066881316602
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (12.15) | #6 ""Deckhole @ _yf6aQFJyI"" (43.36) | #7 ""Malarkey @ Ia-cNlUwV8"" (49.49)",2021-12-28T05:20:13.166Z,164066881316601
"-- starting hand #91  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-12-28T05:20:13.166Z,164066881316600
"-- ending hand #90 --",2021-12-28T05:20:10.167Z,164066881016702
"""Deckhole @ _yf6aQFJyI"" collected 11.67 from pot",2021-12-28T05:20:10.167Z,164066881016701
"Uncalled bet of 11.67 returned to ""Deckhole @ _yf6aQFJyI""",2021-12-28T05:20:10.167Z,164066881016700
"""Malarkey @ Ia-cNlUwV8"" folds",2021-12-28T05:20:09.282Z,164066880928200
"""Deckhole @ _yf6aQFJyI"" bets 11.67",2021-12-28T05:18:56.998Z,164066873699800
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:18:53.514Z,164066873351400
"River: 2♠, A♣, 10♣, 8♥ [A♥]",2021-12-28T05:18:49.262Z,164066872926200
"""Malarkey @ Ia-cNlUwV8"" calls 3.89",2021-12-28T05:18:48.422Z,164066872842200
"""Deckhole @ _yf6aQFJyI"" bets 3.89",2021-12-28T05:18:46.413Z,164066872641300
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:18:42.899Z,164066872289900
"Turn: 2♠, A♣, 10♣ [8♥]",2021-12-28T05:18:33.252Z,164066871325200
"""Malarkey @ Ia-cNlUwV8"" calls 0.97",2021-12-28T05:18:32.394Z,164066871239400
"""Deckhole @ _yf6aQFJyI"" bets 0.97",2021-12-28T05:18:29.278Z,164066870927800
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:18:05.243Z,164066868524300
"Flop:  [2♠, A♣, 10♣]",2021-12-28T05:17:58.106Z,164066867810600
"""K Godel @ Di5cxDUTF9"" folds",2021-12-28T05:17:57.181Z,164066867718100
"""Malarkey @ Ia-cNlUwV8"" calls 0.85",2021-12-28T05:17:56.221Z,164066867622100
"""Deckhole @ _yf6aQFJyI"" raises to 0.85",2021-12-28T05:17:54.257Z,164066867425700
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-12-28T05:17:44.898Z,164066866489806
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2021-12-28T05:17:44.898Z,164066866489805
"Your hand is 5♦, 5♥, 8♦, 6♥",2021-12-28T05:17:44.898Z,164066866489802
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (12.40) | #6 ""Deckhole @ _yf6aQFJyI"" (37.40) | #7 ""Malarkey @ Ia-cNlUwV8"" (55.20)",2021-12-28T05:17:44.898Z,164066866489801
"-- starting hand #90  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-28T05:17:44.898Z,164066866489800
"-- ending hand #89 --",2021-12-28T05:17:41.967Z,164066866196702
"""Malarkey @ Ia-cNlUwV8"" collected 9.00 from pot",2021-12-28T05:17:41.967Z,164066866196701
"Uncalled bet of 9.00 returned to ""Malarkey @ Ia-cNlUwV8""",2021-12-28T05:17:41.967Z,164066866196700
"""K Godel @ Di5cxDUTF9"" folds",2021-12-28T05:17:41.088Z,164066866108800
"""Malarkey @ Ia-cNlUwV8"" bets 9.00",2021-12-28T05:17:39.436Z,164066865943600
"River: Q♣, K♥, 5♠, 3♣ [7♦]",2021-12-28T05:17:28.157Z,164066864815700
"""K Godel @ Di5cxDUTF9"" calls 2.70",2021-12-28T05:17:27.346Z,164066864734600
"""Malarkey @ Ia-cNlUwV8"" bets 2.70",2021-12-28T05:17:24.638Z,164066864463800
"Turn: Q♣, K♥, 5♠ [3♣]",2021-12-28T05:17:00.865Z,164066862086500
"""K Godel @ Di5cxDUTF9"" calls 0.90",2021-12-28T05:16:59.946Z,164066861994600
"""Malarkey @ Ia-cNlUwV8"" bets 0.90",2021-12-28T05:16:57.749Z,164066861774900
"Flop:  [Q♣, K♥, 5♠]",2021-12-28T05:16:44.594Z,164066860459400
"""Malarkey @ Ia-cNlUwV8"" calls 0.85",2021-12-28T05:16:43.717Z,164066860371700
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-28T05:16:39.332Z,164066859933200
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2021-12-28T05:16:30.506Z,164066859050600
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2021-12-28T05:16:19.271Z,164066857927106
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-28T05:16:19.271Z,164066857927105
"Your hand is 9♠, A♣, Q♥, 8♣",2021-12-28T05:16:19.271Z,164066857927102
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (16.85) | #6 ""Deckhole @ _yf6aQFJyI"" (37.50) | #7 ""Malarkey @ Ia-cNlUwV8"" (50.65)",2021-12-28T05:16:19.271Z,164066857927101
"-- starting hand #89  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-12-28T05:16:19.271Z,164066857927100
"-- ending hand #88 --",2021-12-28T05:16:13.172Z,164066857317204
"""Deckhole @ _yf6aQFJyI"" shows a 9♠, K♥, 4♣, Q♦.",2021-12-28T05:16:13.172Z,164066857317203
"""K Godel @ Di5cxDUTF9"" shows a Q♠, 5♥, 4♦, 3♥.",2021-12-28T05:16:13.172Z,164066857317202
"""Malarkey @ Ia-cNlUwV8"" collected 2.55 from pot with hi hand with straight ace high (combination: 10♠, J♥, Q♣, K♠, A♥)",2021-12-28T05:16:13.172Z,164066857317201
"""Malarkey @ Ia-cNlUwV8"" shows a 8♦, A♥, Q♥, Q♣.",2021-12-28T05:16:13.172Z,164066857317200
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:16:12.363Z,164066857236300
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-28T05:16:00.240Z,164066856024000
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:15:44.881Z,164066854488100
"River: 6♠, 10♠, 8♥, K♠ [J♥]",2021-12-28T05:15:39.574Z,164066853957400
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:15:38.716Z,164066853871600
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-28T05:15:36.847Z,164066853684700
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:15:23.412Z,164066852341200
"Turn: 6♠, 10♠, 8♥ [K♠]",2021-12-28T05:15:20.885Z,164066852088500
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:15:20.031Z,164066852003100
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-28T05:15:15.991Z,164066851599100
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:15:02.837Z,164066850283700
"Flop:  [6♠, 10♠, 8♥]",2021-12-28T05:14:57.390Z,164066849739000
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2021-12-28T05:14:56.540Z,164066849654000
"""K Godel @ Di5cxDUTF9"" calls 0.85",2021-12-28T05:14:48.768Z,164066848876800
"""Malarkey @ Ia-cNlUwV8"" raises to 0.85",2021-12-28T05:14:41.119Z,164066848111900
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-28T05:14:26.373Z,164066846637306
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-12-28T05:14:26.373Z,164066846637305
"Your hand is Q♠, 5♥, 4♦, 3♥",2021-12-28T05:14:26.373Z,164066846637302
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (17.70) | #6 ""Deckhole @ _yf6aQFJyI"" (38.35) | #7 ""Malarkey @ Ia-cNlUwV8"" (48.95)",2021-12-28T05:14:26.373Z,164066846637301
"-- starting hand #88  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-12-28T05:14:26.373Z,164066846637300
"-- ending hand #87 --",2021-12-28T05:14:23.371Z,164066846337102
"""K Godel @ Di5cxDUTF9"" collected 5.09 from pot",2021-12-28T05:14:23.371Z,164066846337101
"Uncalled bet of 5.09 returned to ""K Godel @ Di5cxDUTF9""",2021-12-28T05:14:23.371Z,164066846337100
"""Malarkey @ Ia-cNlUwV8"" folds",2021-12-28T05:14:22.459Z,164066846245900
"""K Godel @ Di5cxDUTF9"" bets 5.09",2021-12-28T05:14:12.117Z,164066845211700
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:14:07.885Z,164066844788500
"River: Q♠, Q♦, A♠, 8♦ [10♥]",2021-12-28T05:14:01.383Z,164066844138300
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:14:00.556Z,164066844055600
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:13:54.497Z,164066843449700
"Turn: Q♠, Q♦, A♠ [8♦]",2021-12-28T05:13:45.900Z,164066842590000
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-28T05:13:45.051Z,164066842505100
"""K Godel @ Di5cxDUTF9"" calls 1.27",2021-12-28T05:13:12.779Z,164066839277900
"""Malarkey @ Ia-cNlUwV8"" bets 1.27",2021-12-28T05:13:10.303Z,164066839030300
"Flop:  [Q♠, Q♦, A♠]",2021-12-28T05:13:00.941Z,164066838094100
"""K Godel @ Di5cxDUTF9"" calls 0.85",2021-12-28T05:13:00.086Z,164066838008600
"""Malarkey @ Ia-cNlUwV8"" calls 0.85",2021-12-28T05:12:41.146Z,164066836114600
"""Deckhole @ _yf6aQFJyI"" raises to 0.85",2021-12-28T05:12:38.685Z,164066835868500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-12-28T05:12:16.194Z,164066833619406
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2021-12-28T05:12:16.194Z,164066833619405
"Your hand is 9♣, 10♣, 2♣, Q♣",2021-12-28T05:12:16.194Z,164066833619402
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (14.73) | #6 ""Deckhole @ _yf6aQFJyI"" (39.20) | #7 ""Malarkey @ Ia-cNlUwV8"" (51.07)",2021-12-28T05:12:16.194Z,164066833619401
"-- starting hand #87  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-28T05:12:16.194Z,164066833619400
"""K Godel @ Di5cxDUTF9"" shows a 9♥, K♣, 4♣, 3♥.",2021-12-28T05:12:10.940Z,164066833094000
"-- ending hand #86 --",2021-12-28T05:12:09.677Z,164066832967704
"""Malarkey @ Ia-cNlUwV8"" collected 39.20 from pot with low hand with seven high (combination: A♠, 2♥, 4♥, 5♦, 7♥)",2021-12-28T05:12:09.677Z,164066832967703
"""Malarkey @ Ia-cNlUwV8"" shows a 2♥, 8♥, 4♥, K♠.",2021-12-28T05:12:09.677Z,164066832967702
"""Deckhole @ _yf6aQFJyI"" collected 39.20 from pot with hi hand with three of a kind aces (combination: 7♥, 10♣, A♣, A♥, A♠)",2021-12-28T05:12:09.677Z,164066832967701
"""Deckhole @ _yf6aQFJyI"" shows a J♦, A♣, A♥, Q♥.",2021-12-28T05:12:09.677Z,164066832967700
"""Malarkey @ Ia-cNlUwV8"" calls 14.00",2021-12-28T05:12:08.850Z,164066832885000
"""Deckhole @ _yf6aQFJyI"" bets 14.00 and go all in",2021-12-28T05:12:03.438Z,164066832343800
"River: A♠, 7♥, 5♦, 10♣ [2♣]",2021-12-28T05:11:57.379Z,164066831737900
"""Malarkey @ Ia-cNlUwV8"" calls 16.80",2021-12-28T05:11:56.531Z,164066831653100
"""Deckhole @ _yf6aQFJyI"" bets 16.80",2021-12-28T05:11:31.353Z,164066829135300
"Turn: A♠, 7♥, 5♦ [10♣]",2021-12-28T05:11:17.177Z,164066827717700
"""K Godel @ Di5cxDUTF9"" folds",2021-12-28T05:11:16.324Z,164066827632400
"""Malarkey @ Ia-cNlUwV8"" calls 4.20",2021-12-28T05:11:07.071Z,164066826707100
"""Deckhole @ _yf6aQFJyI"" bets 4.20",2021-12-28T05:11:05.297Z,164066826529700
"Flop:  [A♠, 7♥, 5♦]",2021-12-28T05:10:55.436Z,164066825543600
"""K Godel @ Di5cxDUTF9"" calls 2.80",2021-12-28T05:10:54.569Z,164066825456900
"""Malarkey @ Ia-cNlUwV8"" calls 2.80",2021-12-28T05:10:51.666Z,164066825166600
"""Deckhole @ _yf6aQFJyI"" raises to 2.80",2021-12-28T05:10:47.399Z,164066824739900
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2021-12-28T05:10:36.717Z,164066823671700
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2021-12-28T05:10:31.221Z,164066823122106
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-28T05:10:31.221Z,164066823122105
"Your hand is 9♥, K♣, 4♣, 3♥",2021-12-28T05:10:31.221Z,164066823122102
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (17.53) | #6 ""Deckhole @ _yf6aQFJyI"" (37.80) | #7 ""Malarkey @ Ia-cNlUwV8"" (49.67)",2021-12-28T05:10:31.221Z,164066823122101
"-- starting hand #86  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-12-28T05:10:31.221Z,164066823122100
"-- ending hand #85 --",2021-12-28T05:10:28.219Z,164066822821902
"""Malarkey @ Ia-cNlUwV8"" collected 5.85 from pot",2021-12-28T05:10:28.219Z,164066822821901
"Uncalled bet of 5.85 returned to ""Malarkey @ Ia-cNlUwV8""",2021-12-28T05:10:28.219Z,164066822821900
"""K Godel @ Di5cxDUTF9"" folds",2021-12-28T05:10:27.303Z,164066822730300
"""Malarkey @ Ia-cNlUwV8"" bets 5.85",2021-12-28T05:10:16.815Z,164066821681500
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:10:13.612Z,164066821361200
"River: 3♦, 8♦, 9♣, 7♣ [10♥]",2021-12-28T05:10:08.205Z,164066820820500
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:10:07.363Z,164066820736300
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:10:05.408Z,164066820540800
"Turn: 3♦, 8♦, 9♣ [7♣]",2021-12-28T05:09:56.598Z,164066819659800
"""Malarkey @ Ia-cNlUwV8"" checks",2021-12-28T05:09:55.694Z,164066819569400
"""K Godel @ Di5cxDUTF9"" checks",2021-12-28T05:09:53.931Z,164066819393100
"Flop:  [3♦, 8♦, 9♣]",2021-12-28T05:09:48.264Z,164066818826400
"""Malarkey @ Ia-cNlUwV8"" calls 2.80",2021-12-28T05:09:47.441Z,164066818744100
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-28T05:09:45.738Z,164066818573800
"""K Godel @ Di5cxDUTF9"" raises to 2.80",2021-12-28T05:09:38.251Z,164066817825100
"""Malarkey @ Ia-cNlUwV8"" raises to 0.85",2021-12-28T05:09:34.845Z,164066817484500
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-28T05:09:30.587Z,164066817058706
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-12-28T05:09:30.587Z,164066817058705
"Your hand is 3♠, A♣, A♠, 8♣",2021-12-28T05:09:30.587Z,164066817058702
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (20.33) | #6 ""Deckhole @ _yf6aQFJyI"" (38.05) | #7 ""Malarkey @ Ia-cNlUwV8"" (46.62)",2021-12-28T05:09:30.587Z,164066817058701
"-- starting hand #85  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-12-28T05:09:30.587Z,164066817058700
"-- ending hand #84 --",2021-12-28T05:09:27.590Z,164066816759002
"""Deckhole @ _yf6aQFJyI"" collected 0.60 from pot",2021-12-28T05:09:27.590Z,164066816759001
"Uncalled bet of 0.60 returned to ""Deckhole @ _yf6aQFJyI""",2021-12-28T05:09:27.590Z,164066816759000
"""K Godel @ Di5cxDUTF9"" folds",2021-12-28T05:09:26.719Z,164066816671900
"""Malarkey @ Ia-cNlUwV8"" folds",2021-12-28T05:09:15.032Z,164066815503200
"""Deckhole @ _yf6aQFJyI"" raises to 0.85",2021-12-28T05:09:14.138Z,164066815413800
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-12-28T05:09:09.779Z,164066814977906
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2021-12-28T05:09:09.779Z,164066814977905
"Your hand is 6♣, Q♦, 2♣, K♣",2021-12-28T05:09:09.779Z,164066814977902
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (20.58) | #6 ""Deckhole @ _yf6aQFJyI"" (37.70) | #7 ""Malarkey @ Ia-cNlUwV8"" (46.72)",2021-12-28T05:09:09.779Z,164066814977901
"-- starting hand #84  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-28T05:09:09.779Z,164066814977900
"-- ending hand #83 --",2021-12-28T05:09:03.761Z,164066814376105
"""Deckhole @ _yf6aQFJyI"" shows a 10♥, J♠, 8♠, 4♥.",2021-12-28T05:09:03.761Z,164066814376104
"""Malarkey @ Ia-cNlUwV8"" collected 5.80 from pot with low hand with seven high (combination: A♣, 4♦, 5♠, 6♦, 7♥)",2021-12-28T05:09:03.761Z,164066814376103
"""Malarkey @ Ia-cNlUwV8"" shows a A♣, 6♠, 5♠, 10♣.",2021-12-28T05:09:03.761Z,164066814376102
"""K Godel @ Di5cxDUTF9"" collected 5.81 from pot with hi hand with flush ace high (combination: 2♥, 7♥, 9♥, Q♥, A♥)",2021-12-28T05:09:03.761Z,164066814376101
"""K Godel @ Di5cxDUTF9"" shows a K♦, 2♥, J♦, Q♥.",2021-12-28T05:09:03.761Z,164066814376100
"""K Godel @ Di5cxDUTF9"" calls 2.32",2021-12-28T05:09:02.919Z,164066814291900
